"Sample","Abundance","Phenotype"
"M1_1_MSS",24.29438489,"MSS"
"M1_2_MSS",44475.96381,"MSS"
"M5_1_MSS",0,"MSS"
"M5_2_MSS",6269.14095,"MSS"
"T49_1_MSS",1135.816869,"MSS"
"T49_2_MSS",21933.89963,"MSS"
"M42_1_PD",0,"PD"
"M42_2_PD",0,"PD"
"M43_1_PD",772.9056302,"PD"
"M43_2_PD",2136.746203,"PD"
"M64_1_PD",1820.723776,"PD"
"M64_2_PD",1727.90983,"PD"
"M1_1_MSS",0,"MSS"
"M1_2_MSS",43138.90442,"MSS"
"M5_1_MSS",2102.056186,"MSS"
"M5_2_MSS",50355.05143,"MSS"
"T49_1_MSS",248.9275305,"MSS"
"T49_2_MSS",3239.160055,"MSS"
"M42_1_PD",1315.904473,"PD"
"M42_2_PD",0,"PD"
"M43_1_PD",0,"PD"
"M43_2_PD",0,"PD"
"M64_1_PD",0,"PD"
"M64_2_PD",892.3564739,"PD"
"M1_1_MSS",3412.603318,"MSS"
"M1_2_MSS",172143.0403,"MSS"
"M5_1_MSS",77323.01892,"MSS"
"M5_2_MSS",307637.4289,"MSS"
"T49_1_MSS",98442.27728,"MSS"
"T49_2_MSS",192982.3696,"MSS"
"M42_1_PD",24851.34409,"PD"
"M42_2_PD",16547.95036,"PD"
"M43_1_PD",5565.282098,"PD"
"M43_2_PD",0,"PD"
"M64_1_PD",3264.562572,"PD"
"M64_2_PD",5901.957686,"PD"
"M1_1_MSS",220431.1788,"MSS"
"M1_2_MSS",145656.8866,"MSS"
"M5_1_MSS",104287.8149,"MSS"
"M5_2_MSS",75887.3652,"MSS"
"T49_1_MSS",773377.4981,"MSS"
"T49_2_MSS",481165.5377,"MSS"
"M42_1_PD",1027196.292,"PD"
"M42_2_PD",1163747.376,"PD"
"M43_1_PD",4080239.182,"PD"
"M43_2_PD",4885818.113,"PD"
"M64_1_PD",3093786.793,"PD"
"M64_2_PD",2759104.544,"PD"
"M1_1_MSS",18254.77813,"MSS"
"M1_2_MSS",8529.754751,"MSS"
"M5_1_MSS",35955.90078,"MSS"
"M5_2_MSS",44102.31611,"MSS"
"T49_1_MSS",57145.16817,"MSS"
"T49_2_MSS",34638.00992,"MSS"
"M42_1_PD",21231.25588,"PD"
"M42_2_PD",49499.69621,"PD"
"M43_1_PD",666107.0448,"PD"
"M43_2_PD",379313.6153,"PD"
"M64_1_PD",255792.1172,"PD"
"M64_2_PD",579765.0018,"PD"
"M1_1_MSS",644513.3184,"MSS"
"M1_2_MSS",261938.0254,"MSS"
"M5_1_MSS",187023.4843,"MSS"
"M5_2_MSS",124867.7152,"MSS"
"T49_1_MSS",4487443.692,"MSS"
"T49_2_MSS",2572575.275,"MSS"
"M42_1_PD",535809.1872,"PD"
"M42_2_PD",434645.8917,"PD"
"M43_1_PD",91361.87812,"PD"
"M43_2_PD",65997.91272,"PD"
"M64_1_PD",243250.4386,"PD"
"M64_2_PD",206632.6444,"PD"
"M1_1_MSS",686819.9955,"MSS"
"M1_2_MSS",331983.602,"MSS"
"M5_1_MSS",252694.3025,"MSS"
"M5_2_MSS",322889.5265,"MSS"
"T49_1_MSS",34886738.4,"MSS"
"T49_2_MSS",6651273.662,"MSS"
"M42_1_PD",832708.6977,"PD"
"M42_2_PD",827703.4096,"PD"
"M43_1_PD",498518.852,"PD"
"M43_2_PD",118448.8384,"PD"
"M64_1_PD",151636.8015,"PD"
